"Overton id",Title,"Translated title","Document type","Source title","Source country","Source state","Source sector","Source organisation type","Source function",Published_on,"Policy citations (excl. same source)","Policy citations (inc. same source)","Document URL","Overton URL","Source specific tags","Your tags","Top topics",Languages,"Policy authors","Related to SDGs","Document theme"
stateofcatalunya-0450ed7464b23ef82215544f14dfa464,"2022 Global Food Policy Report: Climate Change & Food Systems",,Publication,"Generalitat de Catalunya",Spain,,"Public Sector",Government,"Regional or State Level Body|Mixed Roles|Public Service",2022-06-08,0,0,https://agricultura.gencat.cat/web/.content/04-alimentacio/malbaratament-alimentari/enllacos-documents/fitxers-binaris/Informe-Global-Food-Policy-Report-2022-web.pdf,https://app.overton.io/document.php?policy_document_id=stateofcatalunya-0450ed7464b23ef82215544f14dfa464,,,"2021 United Nations Climate Change Conference|Agricultural policy|Agricultural productivity",eng,,"SDG 2: Zero Hunger|SDG Target 2.4|SDG 13: Climate Action|SDG Target 13.1|SDG Target 13.3","Food systems transformation and climate change"
havforskningsinstituttetno-f5a09c19d8e4f76af0ee02022eaae2e9,"ASSESSMENT OF FISH SPAWNING IN THE NORTH SEA; FINAL PROJECT REPORT OF KINO-2, 2017-2021",,Publication,Havforskningsinstituttet,Norway,,"Public Sector",Government,"Research Centre",2022-06-06,0,0,"https://www.hi.no/en/hi/nettrapporter/assessment-of-fish-spawning-in-the-north-sea-final-project-report-of-kino-2,-2017-2021",https://app.overton.io/document.php?policy_document_id=havforskningsinstituttetno-f5a09c19d8e4f76af0ee02022eaae2e9,,,"Atlantic cod|Cod|DNA extraction",eng,,"SDG 14: Life Below Water|SDG Target 14.2","Fish spawning in the North Sea"
governmentofbhutan-dc47ec0843a6bd9910816cbcd5c192bb,"Sdg Structured Dialogue Report",,Publication,"Government of Bhutan",Bhutan,,"Public Sector",Government,"National Body|Public Service|Mixed Roles",2022-06-02,0,0,http://nec.gov.bt/publications/download/sdg-structured-dialogue-report,https://app.overton.io/document.php?policy_document_id=governmentofbhutan-dc47ec0843a6bd9910816cbcd5c192bb,,,"Climate change|Climate change adaptation|Climate change mitigation",eng,"National Environment Commission","SDG 13: Climate Action|SDG Target 13.1","National Adaptation Plan (NAP) and Sustainable Development Goals (SDGs) in Bhutan"
trafikverket-b06a28b01f794cb1571c85691a009a39,"Bättre metoder att beskriva hälsovinster av minskad exponering för luftföroreningar från vägtrafik","Better methods to describe health gains from reduced exposure to air pollution from road traffic",Publication,Trafikverket,Sweden,,"Public Sector",Government,"National Body|Government Agency|Public Service|Monitoring or Regulatory Body",2022-05-25,4,10,http://trafikverket.diva-portal.org/smash/get/diva2:1674008/FULLTEXT01.pdf,https://app.overton.io/document.php?policy_document_id=trafikverket-b06a28b01f794cb1571c85691a009a39,,,"Air pollution|COVID-19 pandemic|Cardiovascular disease",swe,,"SDG 3: Good Health and Well-being|SDG Target 3.9","Improving methods for describing health benefits of reduced exposure to air pollutants from road traffic"
devalde-637bc7c32630b6e56407e021de87e818,"Evaluation of interventions for climate change adaptation. Instruments for managing residual climate risks",,Publication,DEval,Germany,,"Public Sector",Government,"National Body|Research Centre|Policy Centre",2022-05-23,0,8,https://www.deval.org/de/publikationen/evaluation-of-interventions-for-climate-change-adaptation-instruments-for-managing-residual-climate-risks,https://app.overton.io/document.php?policy_document_id=devalde-637bc7c32630b6e56407e021de87e818,,,"Alliance of Small Island States|Analysis|Benchmarking",eng,,"SDG 13: Climate Action|SDG Target 13.1|SDG 10: Reduced Inequality|SDG Target 10.7","Climate change adaptation and residual climate risks"
environmentnz-ef750ed80fffbd586dd1626d609468d7,"Proposed Amendments to the Environmental Reporting Act 2015: Cost Benefit Analysis",,Publication,"Ministry for the Environment","New Zealand",,"Public Sector",Government,"National Body|Government Department",2022-05-13,0,1,https://environment.govt.nz/publications/proposed-amendments-to-the-environmental-reporting-act-2015-cost-benefit-analysis/,https://app.overton.io/document.php?policy_document_id=environmentnz-ef750ed80fffbd586dd1626d609468d7,,,"ACT New Zealand|Air pollution|Aotearoa",eng,,"SDG 15: Life on Land|SDG Target 15.9","Environmental Reporting Act 2015"
europa-d6d913981e7219f70130dd3f1f2da8ab,"How to incorporate Underwater Cultural Heritage into Maritime Spatial Planning : guidelines and good practices.",,Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|Public Data Body or Statistics|Archive|Public Service",2022-05-11,0,2,https://op.europa.eu/en/publication-detail/-/publication/1157509d-d264-11ec-a95f-01aa75ed71a1/language-en/format-PDF,https://app.overton.io/document.php?policy_document_id=europa-d6d913981e7219f70130dd3f1f2da8ab,,,"Archaeology|Blue economy|Branches of science",eng,"AETS|European Climate, Infrastructure and Environment Executive Agency (European Commission)|Henocque, Yves|Kyvelou, Stella Sofia|Pescares Italia|Eau de Web","SDG 11: Sustainable Cities and Communities|SDG Target 11.4|SDG 14: Life Below Water|SDG Target 14.2","Incorporating Underwater Cultural Heritage into Maritime Spatial Planning"
europa-de0c9b0773076a0e34f713e9734647bf,"The implications of the ocean governance framework established by the United Nations for the implementation of the EU MSP Directive : background technical study.",,Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|Public Data Body or Statistics|Archive|Public Service",2022-05-11,0,3,https://op.europa.eu/en/publication-detail/-/publication/52578506-d265-11ec-a95f-01aa75ed71a1/language-en/format-PDF,https://app.overton.io/document.php?policy_document_id=europa-de0c9b0773076a0e34f713e9734647bf,,,"Biodiversity|Climate change|Climate change adaptation",eng,"AETS|European Climate, Infrastructure and Environment Executive Agency (European Commission)|Jay, Stephen|Enet, Patrycja|Pescares Italia|McDougall, Chris|Eau de Web","SDG 13: Climate Action|SDG Target 13.2|SDG 14: Life Below Water|SDG Target 14.2|SDG Target 14.c","Ocean Governance Framework and EU MSP Directive"
california_state_agencies-51be1a0826e512c821928e34dddf12e9,"Appendix B - Draft Environmental Analysis",,Publication,"State of California",USA,,"Public Sector",Government,"Regional or State Level Body|Mixed Roles|Public Service",2022-05-10,0,2,http://ww2.arb.ca.gov/sites/default/files/2022-05/2022-draft-sp-appendix-b-draft-environmental-analysis.pdf,https://app.overton.io/document.php?policy_document_id=california_state_agencies-51be1a0826e512c821928e34dddf12e9,,,"Agriculture|Air pollution|Anaerobic digestion",eng,,"SDG 13: Climate Action|SDG Target 13.2","Climate change mitigation and carbon neutrality"
stateofaragon-011fa7354aa945e21c21bfc84b735388,"Estrategia en Salud Cardiovascular del Sistema Nacional de Salud (ESCAV)","Cardiovascular Health Strategy of the National Health System (ESCAV)",Publication,"Gobierno de Aragón",Spain,,"Public Sector",Government,"Regional or State Level Body|Mixed Roles|Public Service",2022-05-03,0,0,https://www.aragon.es/documents/20127/26206116/Estrategia+Enfermedad+Cardiovascular+SNS+2022.pdf/ce9cd747-872b-2067-0903-fead97d5a57a,https://app.overton.io/document.php?policy_document_id=stateofaragon-011fa7354aa945e21c21bfc84b735388,,,"Aortic stenosis|Aortic valve|Atrial fibrillation",spa,,"SDG 3: Good Health and Well-being|SDG Target 3.4","Cardiovascular health strategy in Spain"
marinewatersweden-0be00f95b5be988bcd7a7238a77a6854,"Fysisk påverkan i kusten och effekter på ekosystemen","Physical impact on the coast and effects on ecosystems",Publication,"Havs- och Vattenmyndigheten",Sweden,,"Public Sector",Government,"National Body|Government Agency|Research Centre|Policy Centre|Monitoring or Regulatory Body|Public Service",2022-05-02,3,3,https://www.havochvatten.se/data-kartor-och-rapporter/rapporter-och-andra-publikationer/publikationer/2021-12-10-fysisk-paverkan-i-kusten-och-effekter-pa-ekosystemen.html,https://app.overton.io/document.php?policy_document_id=marinewatersweden-0be00f95b5be988bcd7a7238a77a6854,,,"Biodiversity|Climate|Climate change",swe,,"SDG 14: Life Below Water|SDG Target 14.2","Physical impact on coastal ecosystems and effects of human activities"
marinewatersweden-f13bbe2d33cb9de6dc630391112aa489,"Erfarenheter av ekologisk restaurering i kust och hav","Experiences of ecological restoration in coasts and seas",Publication,"Havs- och Vattenmyndigheten",Sweden,,"Public Sector",Government,"National Body|Government Agency|Research Centre|Policy Centre|Monitoring or Regulatory Body|Public Service",2022-05-02,9,10,https://www.havochvatten.se/data-kartor-och-rapporter/rapporter-och-andra-publikationer/publikationer/2021-12-10-erfarenheter-av-ekologisk-restaurering-i-kust-och-hav.html,https://app.overton.io/document.php?policy_document_id=marinewatersweden-f13bbe2d33cb9de6dc630391112aa489,,,"Baltic Sea|Biodiversity|Biology",swe,,"SDG 14: Life Below Water|SDG Target 14.2","Ecological restoration in coastal and marine environments"
governmentofrwanda-75735e225ba7a13410043884c7d5b317,"Yellow Black Cities Monthly Report",,Publication,"Government of Rwanda",Rwanda,,"Public Sector",Government,"National Body|Public Service|Mixed Roles",2022-04-19,0,0,https://www.rema.gov.rw/fileadmin/user_upload/Policy_Brief_on_Ecosystem-based_Adaptation_LDCF_II_Project.pdf,https://app.overton.io/document.php?policy_document_id=governmentofrwanda-75735e225ba7a13410043884c7d5b317,,,"Climate change adaptation|Earth sciences|Ecological resilience",eng,"Rwanda Environment Management Authority","SDG 13: Climate Action|SDG Target 13.1|SDG 15: Life on Land|SDG Target 15.1|SDG Target 15.3","Ecosystem-based Adaptation (EbA) approach in Rwanda"
stateofvermont-60a0ae9a80cf2f61fb8359e9b5f12f85,"Ecosystem Services in Working Lands Practice and Policy of the U. S. Northeast :",,Publication,"State of Vermont",USA,,"Public Sector",Government,"Regional or State Level Body|Mixed Roles|Public Service",2022-04-18,0,0,https://legislature.vermont.gov/Documents/2024/WorkGroups/House%20Agriculture/Topics%20in%20Agriculture/Organizations/Working%20Lands%20Enterprise%20Initiative/FY23%20Impacts/W~Mario%20Machado~Ecosystem%20Services%20in%20Working%20Lands%20Practice%20and%20Policy~2-21-2023.pdf,https://app.overton.io/document.php?policy_document_id=stateofvermont-60a0ae9a80cf2f61fb8359e9b5f12f85,,,"Agriculture|Agritourism|American Tree Farm System",eng,,"SDG 2: Zero Hunger|SDG Target 2.4|SDG 13: Climate Action|SDG Target 13.3|SDG 15: Life on Land|SDG Target 15.1|SDG Target 15.9","Ecosystem services in working lands practice and policy in the U.S. Northeast"
govuk-54c394877d07d464818c89dfc9d2ae3f,"Evaluating the impact of British International Investment’s infrastructure portfolio",,Publication,"The UK Government",UK,,"Public Sector",Government,"National Body|Mixed Roles|Public Service",2022-04-13,1,2,https://www.gov.uk/government/publications/evaluating-the-impact-of-british-international-investments-infrastructure-portfolio,https://app.overton.io/document.php?policy_document_id=govuk-54c394877d07d464818c89dfc9d2ae3f,,,"Actis Capital|Air pollution|British International Investment",eng,"Foreign, Commonwealth & Development Office","SDG 9: Industry, Innovation and Infrastructure|SDG Target 9.1","Evaluation of British International Investment's infrastructure portfolio"
govdeptsbrazil-57ec97977db3a04800826a84c4a645cd,"Relatório_EnvEx Engenharia e Consultoria","EnvEx Engineering and Consulting Report",Publication,"Government of Brazil",Brazil,,"Public Sector",Government,"National Body|Public Service|Mixed Roles|Government Department",2022-04-11,0,0,https://www.gov.br/ana/pt-br/assuntos/gestao-das-aguas/politica-nacional-de-recursos-hidricos/cobranca/arquivos-cobranca/documentos-relacionados/P181_RF2_RelatrioFinalResumoexecutivo_VP04.pdf,https://app.overton.io/document.php?policy_document_id=govdeptsbrazil-57ec97977db3a04800826a84c4a645cd,,,"Agriculture|Biochemical oxygen demand|Brazilian Institute of Geography and Statistics",por,"Brazilian National Water Agency","SDG 6: Clean Water and Sanitation|SDG Target 6.3|SDG Target 6.4","Study of water resources in the Rio Grande basin"
stateofwesternaustralia-e487de529d151eb5a9423dead58201ec,"Review of the Western Australian Aboriginal Environmental Health Program",,Publication,"State of Western Australia",Australia,,"Public Sector",Government,"Regional or State Level Body|Mixed Roles|Public Service",2022-03-25,0,0,https://www.health.wa.gov.au/~/media/Files/Corporate/general-documents/Aboriginal-Environmental-Health/PDF/AEH-Program-Review_Main-Report_250322.pdf,https://app.overton.io/document.php?policy_document_id=stateofwesternaustralia-e487de529d151eb5a9423dead58201ec,,,"Aboriginal Australians|Air pollution|Australia",eng,"Department of Health","SDG 3: Good Health and Well-being|SDG Target 3.9|SDG 6: Clean Water and Sanitation|SDG Target 6.2","Review of the Western Australian Aboriginal Environmental Health Program"
vkmno-e2ddba5e4b0d74b3cd68b675b13a293d,"Vårjakt på ender - risiko for biologisk mangfold og dyrevelferd","Spring hunting for ducks - risk to biological diversity and animal welfare",Publication,"Norwegian Scientific Committee for Food and Environment",Norway,,"Public Sector",Government,"National Body|Arm's Length Body|Committee|Research Centre|Food and Drug Safety",2022-03-16,0,1,https://vkm.no/risikovurderinger/allevurderinger/varjaktpaenderrisikoforbiologiskmangfoldogdyrevelferd.4.5cf8ff981808a92a589d00a9.html,https://app.overton.io/document.php?policy_document_id=vkmno-e2ddba5e4b0d74b3cd68b675b13a293d,,,"Animal sexual behaviour|Animal welfare|Archipelago Sea",eng,,"SDG 15: Life on Land|SDG Target 15.5","Assessment of risks to wildlife and animal welfare associated with Lodden, Sami traditional hunting of ducks in spring"
govdeptsbrazil-bff0857c0a51854aa318e8ab9c80dd69,Monitoramento,Monitoring,Publication,"Government of Brazil",Brazil,,"Public Sector",Government,"National Body|Public Service|Mixed Roles|Government Department",2022-03-10,0,0,https://www.gov.br/icmbio/pt-br/assuntos/monitoramento/conteudo/Materiais-de-Apoio/monitoramento-participativo-pesca-capacitacao-10mar2022.pdf,https://app.overton.io/document.php?policy_document_id=govdeptsbrazil-bff0857c0a51854aa318e8ab9c80dd69,,,"Agriculture|Biodiversity|Branches of science",por,"Chico Mendes Institute for Biodiversity Conservation","SDG 15: Life on Land|SDG Target 15.c","Participatory monitoring of artisanal fishing in conservation units"
umweltbundesamt-939e47e1473b8adfc042bcc062732b45,"Focus on the future: Meat of the future",,Publication,"Umwelt Bundesamt",Germany,,"Public Sector",Government,"National Body|Government Agency|Research Centre|Monitoring or Regulatory Body",2022-03-01,1,1,https://www.umweltbundesamt.de/publikationen/focus-on-the-future-meat-of-the-future,https://app.overton.io/document.php?policy_document_id=umweltbundesamt-939e47e1473b8adfc042bcc062732b45,,,"Agriculture|Animal husbandry|Behavior",eng,,"SDG 2: Zero Hunger|SDG Target 2.4","Environmental impacts of plant-based meat substitutes, edible insects, and in vitro meat"
norwegianenvironmentagency-ad4e5d6adc5bad4da1d19e5ce2ab5dde,"The condition of forest and mountain ecosystems in Norway: Assessment by the IBECA method - Miljødirektoratet",,Publication,"Norwegian Environment Agency",Norway,,"Public Sector",Government,"National Body|Government Agency",2022-02-18,0,0,https://www.miljodirektoratet.no/publikasjoner/2022/februar/the-condition-of-forest-and-mountain-ecosystems-in-norway-assessment-by-the-ibeca-method/,https://app.overton.io/document.php?policy_document_id=norwegianenvironmentagency-ad4e5d6adc5bad4da1d19e5ce2ab5dde,,,"Apex predator|Biodiversity|Biogeochemistry",eng,,"SDG 15: Life on Land|SDG Target 15.4","Assessment of forest and mountain ecosystems in Norway"
vttfi-fcfe7a5c765ab3506c8fbcf042377c69,"Handbook for a Data-Driven Circular Economy in Finland: Data Sources, Tools, and Governance for Circular Design",,Publication,"Teknologian tutkimuskeskus VTT",Finland,,"Public Sector",Government,"Research Centre",2022-02-17,9,10,https://cris.vtt.fi/en/publications/handbook-for-a-data-driven-circular-economy-in-finland-data-sourc,https://app.overton.io/document.php?policy_document_id=vttfi-fcfe7a5c765ab3506c8fbcf042377c69,,,"Agriculture|Artificial neuron|Barcode",eng,"Sonja Lavikko|Päivi Kivikytö-Reponen|Jukka-Pekka Ovaska|Jani Salminen|Henri Pitkänen|Helena Dahlbo|Susanna Horn|Katja Hilska-Keinänen|Pasi Eilu|Jussi Pokki|Ari Hentunen|Annukka Berg|Janne Pesu|Hannu Ilvesniemi|Päivi Malmi|Sari Luostarinen|Eeva Lehtonen|Sari Kauppi|Samppa Jenu|Milja Räisänen|Mika Naumanen|Marjaana Karhu|Tommi Kauppila|Tiina K.M Karppinen|Sami Majaniemi|Pirjo Heikkilä|Kristiina Valtanen|Teuvo Uusitalo|Jaana Sorvari|Hannu Tanner|Eero Siivola|Svetlana Sapon|Hannamaija Tuovila|Liisa Pesonen","SDG 12: Responsible Consumption and Production|SDG Target 12.5","Promoting data-enabled design-based circular economy solutions in Finland"
europa-047f2ee5cdab33117f018522c06dbd90,"Emerging approaches for data-driven innovation in Europe : sandbox experiments on the governance of data and technology.",,Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|Public Data Body or Statistics|Archive|Public Service",2022-02-16,2,3,https://op.europa.eu/en/publication-detail/-/publication/ba8c1142-8fa5-11ec-8c40-01aa75ed71a1/language-en/format-PDF,https://app.overton.io/document.php?policy_document_id=europa-047f2ee5cdab33117f018522c06dbd90,,,"API|Apache Avro|Apache Hadoop",eng,"Jirka, S|Granell, C|Joint Research Centre (European Commission)|Kotsev, A|Schade, S|Ostermann, F|Oost, H|Sarretta, A|Rieke, M|Mooney, P|Dencik, L|Minghini, M|Micheli, M|Verhulst, S|van den Broecke, J","SDG 9: Industry, Innovation and Infrastructure|SDG Target 9.5","Data-driven innovation in Europe"
europa-7199a3598a333a46fa321af0096f1e96,"Data innovation in demography, migration and human mobility.",,Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|Public Data Body or Statistics|Archive|Public Service",2022-02-01,1,2,https://op.europa.eu/en/publication-detail/-/publication/5282ef16-84a7-11ec-8c40-01aa75ed71a1/language-en/format-PDF,https://app.overton.io/document.php?policy_document_id=europa-7199a3598a333a46fa321af0096f1e96,,,"Advertising|Analytics|Android (operating system)",eng,"Bosco, Claudio|Spyratos, Spyridon|Joint Research Centre (European Commission)|Grubanov-Boskovic, Sara|Sermi, Francesco|Minora, Umberto",,"Data innovation in demography, migration, and human mobility"
umweltbundesamt-51a9872bf3e7742340f2dd9018391649,"Towards a joint implementation of the 2030 Agenda / SDGs, the Paris Agreement and the Sendai Framework",,Publication,"Umwelt Bundesamt",Germany,,"Public Sector",Government,"National Body|Government Agency|Research Centre|Monitoring or Regulatory Body",2022-02-01,0,0,https://www.umweltbundesamt.de/publikationen/towards-a-joint-implementation-of-the-2030-agenda,https://app.overton.io/document.php?policy_document_id=umweltbundesamt-51a9872bf3e7742340f2dd9018391649,,,"Biodiversity|Climate change|Climate change adaptation",eng,,"SDG 13: Climate Action|SDG Target 13.1|SDG Target 13.2","Implementation of international agendas for sustainable development, climate change, and disaster risk reduction"
jointresearcheu-dfc58d749dcafb288d9f68f141844af8,"Data Innovation in Demography, Migration and Human Mobility",,Publication,"Joint Research Centre",EU,,"Public Sector",Government,"International Body|IGO Department or Agency|Research Centre|Policy Centre|Commission",2022-01-25,15,18,https://publications.jrc.ec.europa.eu/repository/handle/JRC127369,https://app.overton.io/document.php?policy_document_id=jointresearcheu-dfc58d749dcafb288d9f68f141844af8,"Information society|Innovation and growth",,"Advertising|Analytics|Android (operating system)",eng,"BOSCO Claudio|SPYRATOS Spyridon|MINORA Umberto|SERMI Francesco|IACUS Stefano|GRUBANOV-BOSKOVIC Sara",,"Data innovation in demography, migration, and human mobility"
jointresearcheu-a7508266db353b73e9f479db88a8cef1,"Emerging approaches for data-driven innovation in Europe",,Publication,"Joint Research Centre",EU,,"Public Sector",Government,"International Body|IGO Department or Agency|Research Centre|Policy Centre|Commission",2022-01-24,6,8,https://publications.jrc.ec.europa.eu/repository/handle/JRC127730,https://app.overton.io/document.php?policy_document_id=jointresearcheu-a7508266db353b73e9f479db88a8cef1,"Information society|Innovation and growth|Standards",,"API|Apache Avro|Apache Hadoop",eng,"JIRKA Simon|OSTERMANN Frank|VERHULST Stefaan|VAN DEN BROECKE Just|DENCIK Lina|SARRETTA Alessandro|RIEKE Matthes|MOONEY Peter|GRANELL Carlos|OOST Hillen|SCHADE Sven|KOTSEV Alexander|MINGHINI Marco|MICHELI Marina","SDG 9: Industry, Innovation and Infrastructure|SDG Target 9.5","Data-driven innovation in Europe"
cdc-f907225e61d2649e6aed4d891c953f19,"Health Benefits from Cleaner Vehicles and Increased Active Transportation in Seattle, Washington",,"Clinical guidance","Centers for Disease Control and Prevention (CDC)",USA,,"Public Sector",Government,"National Body|Government Agency|Healthcare Service, Body or Agency|Monitoring or Regulatory Body",2022-01-01,0,0,https://stacks.cdc.gov/view/cdc/208758,https://app.overton.io/document.php?policy_document_id=cdc-f907225e61d2649e6aed4d891c953f19,,,"Active mobility|Air pollution|Car",eng,"Batterman S|Adar SD|Filigrana P|Levy JI|Gauthier J","SDG 13: Climate Action|SDG Target 13.2","Health benefits of cleaner vehicles and increased active transportation"
committee_house-df8f9ab9c39ae2c642f57d19dc9093d7,"AMERICA'S NATURAL SOLUTIONS: THE CLIMATE BENEFITS OF INVESTING IN HEALTHY ECOSYSTEMS",,Publication,"House Committees",USA,,"Public Sector",Government,"National Body|Parliament, Senate or Congress|Archive|Hansard or Legislative Transcripts|Committee",2022-01-01,0,0,https://www.congress.gov/event/117th-congress/house-event/LC68973/text,https://app.overton.io/document.php?policy_document_id=committee_house-df8f9ab9c39ae2c642f57d19dc9093d7,"117th Congress (2021-2022)|House Select Committee on the Climate Crisis",,Agriculture|Biodiversity|Biogeochemistry,eng,,"SDG 13: Climate Action|SDG Target 13.1|SDG 15: Life on Land|SDG Target 15.1","Investing in healthy ecosystems to tackle climate change"
bcnroc-9c04dec1d9524ae3606c6175f799521d,"BCNROC. Repositori Obert de Coneixement de l'Ajuntament de Barcelona: Pla pel reimpuls de l’Oficina de Ciència Ciutadana 2022","BCNROC. Barcelona City Council&#39;s Open Knowledge Repository: Plan to relaunch the Office of Citizen Science 2022",Publication,"Repositori Obert de Coneixement de l'Ajuntament de Barcelona (BCNROC)",Spain,,"Public Sector",Government,"Municipal Body|Public Service|Archive|Public Data Body or Statistics",2022-01-01,0,0,https://bcnroc.ajuntament.barcelona.cat/jspui/handle/11703/127949,https://app.overton.io/document.php?policy_document_id=bcnroc-9c04dec1d9524ae3606c6175f799521d,,,,cat,,"SDG 11: Sustainable Cities and Communities|SDG Target 11.3","Boosting citizen science in Barcelona"
europa-14786d73687b114e7799bb32d8c132e8,"Ecosystem services accounting. Part III, Pilot accounts for habitat and species maintenance, on-site soil retention and water purification.",,Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|Public Data Body or Statistics|Archive|Public Service",2021-12-30,3,3,https://op.europa.eu/en/publication-detail/-/publication/6645d93b-6ea7-11ec-9136-01aa75ed71a1/language-en/format-PDF,https://app.overton.io/document.php?policy_document_id=europa-14786d73687b114e7799bb32d8c132e8,,,"Accuracy and precision|Agriculture|Air pollution",eng,"Grammatikopoulou, Ioanna|Joint Research Centre (European Commission)|Garcia-Bendito, Eduardo|Ferrini, Silvia|Vallecillo, Sara|La Notte, Alessandra|Czùcz, Bálint|Rega, Carlo|Maes, Joachim|Herrando, Sergi|Grizzetti, Bruna|Zurbarán-Nucci, Mayra|Villero, Dani","SDG 6: Clean Water and Sanitation|SDG Target 6.6|SDG 15: Life on Land|SDG Target 15.1|SDG Target 15.9","Ecosystem services accounting"
governmentofrwanda-aeb2eada3b54cfe5e3a3db82d2d659b6,"Research Report",,Publication,"Government of Rwanda",Rwanda,,"Public Sector",Government,"National Body|Public Service|Mixed Roles",2021-12-21,0,0,https://www.rema.gov.rw/fileadmin/user_upload/Role_of_agroforestry_on_the_restoration_of_Akanyaru__Murago.pdf,https://app.overton.io/document.php?policy_document_id=governmentofrwanda-aeb2eada3b54cfe5e3a3db82d2d659b6,,,Agriculture|Agroforestry|Biodiversity,eng,"Rwanda Environment Management Authority","SDG 13: Climate Action|SDG Target 13.1|SDG 15: Life on Land|SDG Target 15.2|SDG Target 15.3","Role of agroforestry in restoring ecosystems and enhancing resilience to climate change"
govdeptsitaly-d88c8a470f5c83c102a4c183772a95e4,"Summary of the economic analysis on water use",,Publication,"Government of Italy",Italy,,"Public Sector",Government,"National Body|Mixed Roles|Public Service",2021-12-19,0,0,https://sigrian.crea.gov.it/wp-content/uploads/2022/01/Sintesi-dellanalisi-economica-sullutilizzo-idrico_compressed.pdf,https://app.overton.io/document.php?policy_document_id=govdeptsitaly-d88c8a470f5c83c102a4c183772a95e4,,,"Agriculture|Alluvial plain|Alluvium",ita,"Italian Ministry of Agriculture, Forestry and Tourism","SDG 6: Clean Water and Sanitation|SDG Target 6.4","Economic analysis of water usage in the Po river basin"
governmentofrwanda-3a5179a736e2a2a3087561ffc744ee8e,"Importance of Ibanda Makera forest restoration on local people",,Publication,"Government of Rwanda",Rwanda,,"Public Sector",Government,"National Body|Public Service|Mixed Roles",2021-12-14,0,0,https://www.rema.gov.rw/fileadmin/user_upload/Importance_of_Ibanda_Makera_forest_restoration_on_local_people.pdf,https://app.overton.io/document.php?policy_document_id=governmentofrwanda-3a5179a736e2a2a3087561ffc744ee8e,,,Agriculture|Agroforestry|Biodiversity,eng,"Rwanda Environment Management Authority","SDG 13: Climate Action|SDG Target 13.1|SDG 15: Life on Land|SDG Target 15.2|SDG Target 15.3","Importance of Ibanda-Makera forest restoration on local people's livelihoods and environmental conservation"
governmentofrwanda-ba55d5aac6ff07f6235c26687d6fc554,"Research report",,Publication,"Government of Rwanda",Rwanda,,"Public Sector",Government,"National Body|Public Service|Mixed Roles",2021-12-14,0,0,https://www.rema.gov.rw/fileadmin/user_upload/Effectiveness_and_Sustainability_of_Aquatic_Invasive_Plants_Management_in_Lake_Cyohoha_North.pdf,https://app.overton.io/document.php?policy_document_id=governmentofrwanda-ba55d5aac6ff07f6235c26687d6fc554,,,"Agriculture|Aquatic ecosystem|Aquatic plant",eng,"Rwanda Environment Management Authority","SDG 15: Life on Land|SDG Target 15.8","Aquatic invasive plants management in Lake Cyohoha North"
eurostat-510d7741c1811d9389404a9e64a6d4d3,"Improving data collection for the Quality of Life in European Cities Survey — 2021 edition",,"Working paper",Eurostat,EU,,"Public Sector",Government,"International Body|IGO Department or Agency|Commission|Public Data Body or Statistics",2021-12-13,0,0,https://ec.europa.eu/eurostat/web/products-statistical-working-papers/-/ks-tc-21-008,https://app.overton.io/document.php?policy_document_id=eurostat-510d7741c1811d9389404a9e64a6d4d3,,,"Accuracy and precision|Bias (statistics)|Computer-assisted web interviewing",eng,,"SDG 11: Sustainable Cities and Communities|SDG Target 11.3","Quality of Life in European Cities Survey"
europa-78e825813412676fb84ec9fe3e4ef636,"Scientific, Technical and Economic Committee for Fisheries (STECF) : 68th plenary report (PLEN-21-03).",,Publication,"Publications Office of the European Union",EU,,"Public Sector",Government,"International Body|Public Data Body or Statistics|Archive|Public Service",2021-12-10,0,0,https://op.europa.eu/en/publication-detail/-/publication/dba61eb2-5bc3-11ec-91ac-01aa75ed71a1/language-en/format-PDF,https://app.overton.io/document.php?policy_document_id=europa-78e825813412676fb84ec9fe3e4ef636,,,"Biomass|Bottom trawling|C-squares",eng,"Ulrich, Clara|Doerner, Hendrik|Joint Research Centre (European Commission)|Scientific, Technical and Economic Committee for Fisheries (European Commission)","SDG 14: Life Below Water|SDG Target 14.4","Scientific, Technical and Economic Committee for Fisheries"
jointresearcheu-4d4a653df2aa5cad6d24f1da315595d6,"Scientific, Technical and Economic Committee for Fisheries (STECF) – 68th Plenary Report (PLEN-21-03)",,Publication,"Joint Research Centre",EU,,"Public Sector",Government,"International Body|IGO Department or Agency|Research Centre|Policy Centre|Commission",2021-12-09,0,1,https://publications.jrc.ec.europa.eu/repository/handle/JRC127688,https://app.overton.io/document.php?policy_document_id=jointresearcheu-4d4a653df2aa5cad6d24f1da315595d6,"Agriculture and food security|Environment and climate change",,Biomass|C-squares|Data,eng,,"SDG 14: Life Below Water|SDG Target 14.4","Scientific, Technical and Economic Committee for Fisheries, expert working group reports, harvest control rules, anchovy, sardine, Adriatic Sea"
